坑口(北) (將軍澳醫院) (TK950)	坑口(北) (将军澳医院) (TK950)
高鐵(西九龍站)巴士總站 (YT956)	高铁(西九龙站)巴士总站 (YT956)
高鐵(西九龍站)巴士總站 (YT957)	高铁(西九龙站)巴士总站 (YT957)
高鐵(西九龍站)巴士總站 (YT959)	高铁(西九龙站)巴士总站 (YT959)
高鐵(西九龍站)巴士總站 (YT960)	高铁(西九龙站)巴士总站 (YT960)
DHL 中亞區樞紐中心 (CL290)	DHL 中亚区枢纽中心 (CL290)
DHL 中亞區樞紐中心 (CL331)	DHL 中亚区枢纽中心 (CL331)
V CITY, 仁政街 (TM172)	V CITY, 仁政街 (TM172)
V CITY, 仁政街 (TM173)	V CITY, 仁政街 (TM173)
上水轉車站 - 上水站 (ND106)	上水转车站 - 上水站 (ND106)
上水轉車站 - 上水站 (ND107)	上水转车站 - 上水站 (ND107)
上水轉車站 - 上水站 (ND430)	上水转车站 - 上水站 (ND430)
上水轉車站 - 上水站 (ND477)	上水转车站 - 上水站 (ND477)
上水轉車站 - 上水站 (ND479)	上水转车站 - 上水站 (ND479)
上水轉車站 - 上水站 (ND481)	上水转车站 - 上水站 (ND481)
上水轉車站 - 上水站 (ND482)	上水转车站 - 上水站 (ND482)
上水轉車站 - 上水站 (ND483)	上水转车站 - 上水站 (ND483)
上水轉車站 - 上水站 (ND484)	上水转车站 - 上水站 (ND484)
佐敦上海街, 廟街夜市 (YT245)	佐敦上海街, 庙街夜市 (YT245)
北角官立小學(雲景道) (ED271)	北角官立小学(云景道) (ED271)
北角官立小學(雲景道) (ED611)	北角官立小学(云景道) (ED611)
啟隧轉車站 - 啟成街 (KT105)	启隧转车站 - 启成街 (KT105)
啟隧轉車站 - 宏展街 (KT596)	启隧转车站 - 宏展街 (KT596)
大圍轉車站 - 大圍站 (TA124)	大围转车站 - 大围站 (TA124)
大圍轉車站 - 大圍站 (TA125)	大围转车站 - 大围站 (TA125)
大圍轉車站 - 新翠邨 (TA103)	大围转车站 - 新翠邨 (TA103)
大圍轉車站 - 新翠邨 (TA104)	大围转车站 - 新翠邨 (TA104)
大圍轉車站 - 新翠邨 (TA105)	大围转车站 - 新翠邨 (TA105)
大圍轉車站 - 新翠邨 (TA600)	大围转车站 - 新翠邨 (TA600)
大圍轉車站 - 新翠邨 (TA601)	大围转车站 - 新翠邨 (TA601)
大圍轉車站 - 新翠邨 (TA602)	大围转车站 - 新翠邨 (TA602)
大圍轉車站 - 新翠邨 (TA603)	大围转车站 - 新翠邨 (TA603)
大圍轉車站 - 新翠邨 (TA604)	大围转车站 - 新翠邨 (TA604)
大圍轉車站 - 田心村 (TA541)	大围转车站 - 田心村 (TA541)
大圍轉車站 - 田心村 (TA542)	大围转车站 - 田心村 (TA542)
大圍轉車站 - 田心村 (TA543)	大围转车站 - 田心村 (TA543)
